interface_id,pore_i,pore_j,center_x,center_y,center_z,normal_x,normal_y,normal_z,area,constant_normal_traction,flux_balance_residual,mesh_triangles
75,29,30,0.35000000000000003,0.9221245735812825,0.5,0.0,0.0,1.0,0.04296543819138563,0.662145417259623,2.862954818107284e-18,54
76,29,45,0.5,0.9221246949998892,0.3500000000000001,1.0,0.0,0.0,0.042965438273446996,0.5006155363196223,1.0245710529988017e-17,54
77,30,31,0.34999999999999987,0.9221245735812824,0.7999999999999997,0.0,0.08264555337846408,0.9965790046487872,0.04296543819138564,0.6612115659396333,2.39024227385691e-17,54
78,30,46,0.5,0.9221246949998898,0.6499999999999999,1.0,0.0,0.0,0.04296543827344694,0.49963497082693353,-3.447762908503904e-17,54
79,31,47,0.5,0.9150971269858925,0.9150969840124675,1.0,0.0,0.0,0.0314827191367235,0.5001995835293966,-7.047314121155779e-19,39
80,32,33,0.65,0.07787542641871757,0.2,0.0,0.08264555337846424,0.9965790046487872,0.042965438191385576,0.3393756926257239,9.96216625089464e-18,54
81,32,36,0.6499999999999999,0.2,0.07787551452629501,0.0,0.9965790046487872,0.08264555337846424,0.04296543827344695,0.33996229792615673,-4.07009919067532e-18,54
82,32,48,0.7999999999999999,0.08490287301410755,0.08490301598753236,0.9978240510013966,-0.04662168617265187,-0.04662168617265187,0.03148271913672347,0.1816985106858889,2.168404344971009e-19,39
83,33,34,0.6500000000000001,0.07787542641871756,0.5,0.0,0.0,1.0,0.042965438191385576,0.3390146893543393,3.5660550300549074e-18,54
84,33,37,0.6499999999999998,0.19999999999999993,0.35000000000000003,0.0,1.0,0.0,0.05593087654689398,0.3377605378795557,-1.1824156427196406e-17,74
85,33,49,0.7999999999999997,0.07787530500011035,0.35,0.9965790046487872,-0.08264555337846424,0.0,0.042965438273447,0.1788647254611778,2.8731357570865868e-18,54
86,34,35,0.65,0.07787542641871757,0.7999999999999996,0.0,-0.08264555337846424,0.9965790046487872,0.04296543819138558,0.34058889995422664,-9.91833229587423e-18,54
87,34,38,0.6500000000000001,0.19999999999999993,0.6499999999999999,0.0,1.0,0.0,0.055930876546893944,0.33898689944372545,-1.8728957254976648e-17,74
88,34,50,0.7999999999999996,0.07787530500011035,0.65,0.9965790046487872,-0.08264555337846424,0.0,0.04296543827344698,0.17775169359736262,5.177065373618284e-18,54
89,35,39,0.6499999999999996,0.2,0.922124485473705,0.0,0.9965790046487872,-0.08264555337846408,0.04296543827344697,0.3401572046899072,1.2360751799282005e-17,54
90,35,51,0.7999999999999999,0.08490287301410754,0.9150969840124678,0.9978240510013966,-0.04662168617265187,0.04662168617265203,0.03148271913672347,0.18237491586398105,-1.2197274440461925e-19,39
91,36,37,0.6500000000000001,0.35000000000000003,0.20000000000000007,0.0,0.0,1.0,0.05593087638277123,0.33808619572273374,-2.0064304696323053e-17,74
92,36,40,0.65,0.5,0.07787551452629504,0.0,1.0,0.0,0.042965438273446954,0.3385083169817487,-3.429636403432662e-18,54
93,36,52,0.8000000000000003,0.35000000000000003,0.07787551452629499,0.9965790046487872,0.0,-0.08264555337846424,0.04296543827344694,0.1781412168462152,-5.692061405548898e-19,54
94,37,38,0.65,0.35,0.5,0.0,0.0,1.0,0.05593087638277125,0.336008825942783,-8.131516293641283e-18,74
95,37,41,0.6500000000000001,0.5,0.35,0.0,1.0,0.0,0.055930876546893965,0.3357059230261865,-1.555830117516699e-17,74
96,37,53,0.8000000000000004,0.3500000000000001,0.3500000000000002,1.0,0.0,0.0,0.05593087654689398,0.171666816417417,2.2659825404947043e-17,74
97,38,39,0.65,0.34999999999999987,0.7999999999999996,0.0,0.0,1.0,0.05593087638277126,0.3378924658638731,4.866839556686396e-18,74
98,38,42,0.6500000000000004,0.5,0.6500000000000002,0.0,1.0,0.0,0.05593087654689394,0.3365481636283926,3.450473413935118e-17,74
99,38,54,0.8,0.35,0.65,1.0,0.0,0.0,0.05593087654689391,0.17100542245868527,-7.968885967768458e-18,74
100,39,43,0.6499999999999998,0.5,0.9221244854737042,0.0,1.0,0.0,0.042965438273446975,0.33843604779774694,1.0634392773659334e-17,54
101,39,55,0.7999999999999996,0.35000000000000003,0.9221244854737047,0.9965790046487872,0.0,0.08264555337846408,0.042965438273446975,0.17912327421897106,-5.231275482242559e-18,54
102,40,41,0.6500000000000002,0.6500000000000001,0.19999999999999996,0.0,0.0,1.0,0.055930876382771236,0.33755704168273154,2.218696926214233e-17,74
103,40,44,0.6499999999999996,0.7999999999999998,0.077875514526295,0.0,0.9965790046487872,-0.08264555337846424,0.04296543827344697,0.3391939372814922,-2.684565047204098e-18,54
104,40,56,0.8000000000000004,0.6500000000000004,0.07787551452629503,0.9965790046487872,0.0,-0.08264555337846424,0.042965438273446926,0.1779733779263104,-1.089623183347932e-17,54
105,41,42,0.65,0.6499999999999999,0.5,0.0,0.0,1.0,0.05593087638277125,0.3373667391538738,-4.336808689942018e-19,74
106,41,45,0.6499999999999999,0.7999999999999999,0.3499999999999998,0.0,1.0,0.0,0.05593087654689399,0.3376021146934616,-8.276570685858582e-18,74
