method,time,outlet_concentration,mass,budget_mass,raw_mass,mass_rate,transport_rate,dirichlet_source_rate,mass_balance_residual_rate,mass_balance_relative_residual,limiter_mass_change_abs,limiter_mass_residual,min_c,max_c,raw_min_c_before_limiter,raw_max_c_before_limiter,raw_below_zero_before_limiter,raw_above_one_before_limiter
FEM,22.200000000000003,0.9103787909757871,942.263406924428,942.2634069243876,942.2634069244278,9.673835382724292,-9.79950460091532,-0.12566921819331756,-3.426989594879082e-14,1.748552469968015e-15,0.2614834961947292,-2.2737367544323206e-13,0.07015191709863627,1.0,0.06947977075706828,1.0075867559213973,0,137
FEM,22.400000000000002,0.9112269749402112,944.1755420426047,944.1755420425637,944.1755420426048,9.560675590884102,-9.684835835968642,-0.12416024508770016,-6.446145700556016e-14,3.327958165596642e-15,0.2577765488695154,1.1368683772161603e-13,0.07075673715690266,1.0,0.07009103165507069,1.007520186074951,0,137
FEM,22.6,0.9120634148758292,946.0654126996741,946.0654126996327,946.065412699674,9.449353285346547,-9.572032521868188,-0.12267923652335794,1.5159748456561317e-13,7.918771912823175e-15,0.25412680302076807,-1.1368683772161603e-13,0.07140235664477355,1.0,0.07074306983994605,1.007454654778568,0,137
FEM,22.8,0.9128883638653161,947.9333782913704,947.9333782913286,947.9333782913704,9.339827958481806,-9.461053470230084,-0.12122551175058119,-5.509134815007144e-14,2.9114806466010264e-15,0.2505334288678119,-1.1368683772161603e-13,0.07208863329898972,1.0,0.07143574195166412,1.0073901412676636,0,137
FEM,23.0,0.9137020672209563,949.7797903375126,949.7797903374703,949.7797903375126,9.232060230710886,-9.351858644792756,-0.11979841408400677,-2.716490227205881e-14,1.4523798585846622e-15,0.24699557717621978,0.0,0.07281536578409323,1.0,0.07216884563185434,1.007326625280031,0,137
FEM,23.200000000000003,0.9145047696721762,951.6049927079968,951.6049927079541,951.6049927079969,9.126011852421243,-9.244409161381775,-0.11839730896283357,-1.479372180313021e-14,8.001442571867476e-16,0.2435392035440606,1.1368683772161603e-13,0.07358236865228009,1.0,0.072942124019357,1.0072640870427148,0,138
FEM,23.400000000000002,0.9152967010280987,953.4093274067263,953.4093274066834,953.4093274067263,9.021673493647882,-9.138695067198512,-0.11702157355245772,-8.1302152510343e-15,4.44823642284293e-16,0.240133743252498,2.2737367544323206e-13,0.07438932872391042,1.0,0.07375534050727053,1.0072025067113128,0,138
FEM,23.6,0.9160780825591013,955.1931278992919,955.1931278992486,955.1931278992919,8.919002462827734,-9.03467307731983,-0.11567061449364927,-2.3132971233019717e-14,1.2802328891727985e-15,0.23677744171379922,-1.1368683772161603e-13,0.07523588428892779,1.0,0.07460813495535511,1.0071418655194497,0,138
FEM,23.8,0.9168491318127135,956.9567187958714,956.9567187958277,956.9567187958714,8.81795448289779,-8.93229833995986,-0.11434385706443558,-1.5947312914654788e-14,8.92676907314559e-16,0.23348747212014664,0.0,0.07612167938556091,1.0,0.07550010269668679,1.0070821451683343,0,139
FEM,24.0,0.9176100557237606,958.7004196454286,958.7004196453844,958.7004196454286,8.718504247785859,-8.831544985906529,-0.11304073812309001,8.449144162092637e-14,4.783502872699347e-15,0.2302481734903958,-2.2737367544323206e-13,0.07704628059007752,1.0,0.07643084859942151,1.0070233274313822,0,139
